CodigoProducto,Producto,Categoria
SE-SYE558-2086,YAMASA TSUYU KOMBU 500 ML.,SAZONADOR JAPONÉS
SE-SAL502-9540,YAMASA LIGHT COLOR SHOYU 1 L N,SALSA DE SOYA
SE-SFP606-13643,SAMYANG MEP FIDEO INSTANTANEO SABOR CARNE 120 G,SOPAS Y FIDEOS INSTA
SE-SFP606-13645,"SAMYANG MEP FIDEO INSTANTANEO SABOR PIMIENTO Y POLLO CON CILANTRO 120 G""",SOPAS Y FIDEOS INSTA
SE-SFP606-13952,SAMYANG TANGLE FIDEO INSTANTANEO CREAMY MUSHROOM 105G,SOPAS Y FIDEOS INSTA
SE-BEB155-13879,YOUUS JUGO DE UVA ROJA 330 ML,JUGO
SE-BEB155-13872,YOUUS JUGO DE MANZANA 330 ML,JUGO
SE-BEB155-13874,YOUUS JUGO DE TORONJA 330 ML,JUGO
SE-DGB309-13907,ORION BICHOBI CHOCOLATE 125G,POSTRES
SE-DGB300-13077,ORION TURTLE CHIPS SWEET CORN 80G,BOTANAS
SE-DGB302-13106,HSU FU CHI DULCE CRUJIENTE DE TRUFA 308 G,DULCE
SE-DGB302-13412,ZEN-NOH GOMITA DE SABOR SANDIA 40 G,DULCE
SE-DGB302-13958,AMOS PEELERZ PASCUA 65 G,DULCE
CO-FVL356-12992,UNIFOODS CEBOLLIN VERDE CORTADO EN RODAJAS 160 G,VERDURA CONGELADA
VT-ANT102-0148,APLICACION DE ANTICIPO,Artículos
