CodigoProducto,Producto,Categoria
SE-SYE556-0037,ASSI RED PEPPER POWDER-COARSE ASSI 5LB,SAZONADOR COREANO
SE-ARR149-11326,YOPOKKI TOPOKKI 3 PQT 600 G,OTRO ARROZ
SE-DGB309-12797,ROYAL MOCHI CHOCOLATE 120 G,POSTRES
SE-BEB159-12598,CANTABILE FRESA 230 ML,SIN GAS
SE-BEB159-13468,CANTABILE MANGO 230 ML,SIN GAS
SE-BEB159-12599,CANTABILE MANZANA 230 ML,SIN GAS
SE-BEB159-13475,CANTABILE POMEGRANATE ADE 230 ML,SIN GAS
SE-BEB159-12596,CANTABILE TE SABOR DURAZNO 230 ML,SIN GAS
SE-BEB159-12601,CANTABILE MORA AZUL 230 ML,SIN GAS
SE-BEB150-13474,CANTABILE CAFÉ CON VAINILLA 230 ML,CAFÉ
CO-DGB309-2157,MINATO SEIKA DAIFUKU MORA AZUL CON CREMA  60 G,POSTRES
CO-DGB309-2159,MINATO SEIKA DAIFUKU FRESA CON CREMA  60 G,POSTRES
